account_id;account_name;ad_id;ad_name;adset_id;adset_name;campaign_id;campaign_name;hour;date_start;date_stop;impressions;inline_link_clicks;inline_post_engagement;reach;spend;unique_clicks;clicks;video_p25_watched_actions;video_p50_watched_actions;video_p75_watched_actions;video_p95_watched_actions;video_p100_watched_actions;video_thruplay_watched_actions;video_avg_time_watched_actions;unique_video_view_15_sec;unique_video_continuous_2_sec_watched_action;landing_page_view;view_content;complete_registration;contacts;pixel_lead;lead;add_to_cart;initiate_checkout;purchase;add_to_cart_v;initiate_checkout_v;purchase_v;comment;post_engagement;post_reaction;post_save;post_shares;date_of_repor
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-16;2021-05-16;5;0;0;5;0.09;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-16;2021-05-16;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-16;2021-05-16;0;0;0;0;0;0;0;;;;;;;;;;4;5;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;4;0;0;1;0.04;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;7;1;1;7;0.13;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;3;0;0;3;0.06;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;130;2;2;81;2.85;3;4;;;;;;;;;;;;;;;;;;;;;;;2;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;32;1;1;23;0.98;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;1;0;0;1;0.01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;21;1;1;15;0.55;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;1;0;0;1;0.06;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;1;0;0;1;0.01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;30;2;2;19;0.21;1;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;2;0;0;2;0.04;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
420278442466564;Acheiphone;23846393004040009;Todos os produtos - Vendas do catálogo;23846393004020009;Visitantes + Carrinho sem Compra - 21D;23846393003960009;AcheiPhone - [Catálogo] - Remarketing;;2021-05-17;2021-05-17;19;0;0;6;0.07;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-05 10:16:21.868930
